date,series_id,value,inflation_yoy
2024-09-01,CPIAUCSL,314.732,2.4264830315416708
2024-10-01,CPIAUCSL,315.631,2.578844053871343
2024-11-01,CPIAUCSL,316.528,2.719472461284833
2024-12-01,CPIAUCSL,317.604,2.870690967509981
2025-01-01,CPIAUCSL,318.961,2.9909783078999608
2025-02-01,CPIAUCSL,319.679,2.8015834477613355
2025-03-01,CPIAUCSL,319.785,2.381981462805549
2025-04-01,CPIAUCSL,320.302,2.32538823025783
2025-05-01,CPIAUCSL,320.62,2.3772651073680877
2025-06-01,CPIAUCSL,321.435,2.680453865910226
2025-07-01,CPIAUCSL,322.169,2.742618052167134
2025-08-01,CPIAUCSL,323.291,2.9385917430316155
2025-09-01,CPIAUCSL,324.245,3.022571584713329
2025-10-01,CPIAUCSL,,
2025-11-01,CPIAUCSL,325.063,2.6964439164939518
2025-12-01,CPIAUCSL,326.031,2.653304114557753
2026-01-01,CPIAUCSL,326.588,2.391201432150014
2026-02-01,CPIAUCSL,327.46,2.4340041103732224
