date,series_id,value,inflation_yoy,infl_12m_mean,infl_12m_std,infl_12m_z
2016-04-01,CPIAUCSL,238.992,,,,
2016-05-01,CPIAUCSL,239.557,,,,
2016-06-01,CPIAUCSL,240.222,,,,
2016-07-01,CPIAUCSL,240.101,,,,
2016-08-01,CPIAUCSL,240.545,,,,
2016-09-01,CPIAUCSL,241.176,,,,
2016-10-01,CPIAUCSL,241.741,,,,
2016-11-01,CPIAUCSL,242.026,,,,
2016-12-01,CPIAUCSL,242.637,,,,
2017-01-01,CPIAUCSL,243.618,,,,
2017-02-01,CPIAUCSL,244.006,,,,
2017-03-01,CPIAUCSL,243.892,,,,
2017-04-01,CPIAUCSL,244.193,2.176223471915395,,,
2017-05-01,CPIAUCSL,244.004,1.856343166761976,,,
2017-06-01,CPIAUCSL,244.163,1.640565809959127,,,
2017-07-01,CPIAUCSL,244.243,1.7251073506566073,1.849559949823276,0.2036676635075884,-0.6110572342380312
2017-08-01,CPIAUCSL,245.183,1.92812155729698,1.8652722713180168,0.1848564900508731,0.339989610111425
2017-09-01,CPIAUCSL,246.435,2.1805652303711787,1.9178210978268773,0.2056295149832142,1.2777549592807698
2017-10-01,CPIAUCSL,246.626,2.020757753132485,1.932526334299107,0.1937536107464351,0.4553794816698728
2017-11-01,CPIAUCSL,247.284,2.172493864295566,1.9625222755486644,0.1978539850691647,1.0612451837828834
2017-12-01,CPIAUCSL,247.805,2.129930719552253,1.9811232137712853,0.1938158427938005,0.7677778226792484
2018-01-01,CPIAUCSL,248.859,2.151318868063945,1.9981427792005515,0.1908274437618805,0.8026942343499128
2018-02-01,CPIAUCSL,249.529,2.263468931091861,2.022263338463397,0.197288271925698,1.222604822243592
2018-03-01,CPIAUCSL,249.577,2.3309497646499366,2.047987207312276,0.2072631148248678,1.3652335466286762
2018-04-01,CPIAUCSL,250.227,2.4709963021052994,2.072551609828101,0.2364225069428342,1.685307788287433
2018-05-01,CPIAUCSL,250.792,2.781921607842497,2.1496831465848114,0.2966220430601401,2.1314614879430898
2018-06-01,CPIAUCSL,251.018,2.8075506935940187,2.2469318868877197,0.3049476832478964,1.838409791264308
2018-07-01,CPIAUCSL,251.214,2.854124785561929,2.3410166731298294,0.3036000768253093,1.690078994042352
2018-08-01,CPIAUCSL,251.663,2.642923856874257,2.400583531427936,0.286380155767323,0.8462189874748763
2018-09-01,CPIAUCSL,252.182,2.332055105808828,2.413207687714406,0.2796633070709585,-0.2901795832836503
2018-10-01,CPIAUCSL,252.772,2.492032470218053,2.4524805808048704,0.2536774292721361,0.1559141052740355
2018-11-01,CPIAUCSL,252.594,2.147328577667773,2.450383473585888,0.2560760412387471,-1.1834566578431591
2018-12-01,CPIAUCSL,252.767,2.0023809043401064,2.4397543223182088,0.2713484621541595,-1.6118514713734404
2019-01-01,CPIAUCSL,252.561,1.4875893578291333,2.384443529798641,0.3730808176589708,-2.403913922986286
2019-02-01,CPIAUCSL,253.319,1.5188615351321877,2.3223929134686685,0.4433457591782786,-1.8124259941626373
2019-03-01,CPIAUCSL,254.277,1.8831863513063984,2.28507929569004,0.4596001031567079,-0.8744405008251487
2019-04-01,CPIAUCSL,255.233,2.000583470209061,2.2458782263653534,0.4621254441226956,-0.5307969065022227
2019-05-01,CPIAUCSL,255.296,1.7959105553606136,2.16371063865853,0.4469180910931798,-0.8229697804317173
2019-06-01,CPIAUCSL,255.213,1.671194894390049,2.069014322058199,0.4200458700385615,-0.947085678122794
2019-07-01,CPIAUCSL,255.802,1.826331335037068,1.9833648678477935,0.3502057775372217,-0.4484036040611449
2019-08-01,CPIAUCSL,256.036,1.7376412106666406,1.9079246473304927,0.292802033900877,-0.5815650745154953
2019-09-01,CPIAUCSL,256.43,1.6844977040391562,1.8539615305163533,0.2683103163226297,-0.6315963873466033
2019-10-01,CPIAUCSL,257.155,1.7339736996186297,1.7907899662997349,0.1878075050210176,-0.3025239416004533
2019-11-01,CPIAUCSL,257.879,2.092290394862917,1.7862034510659968,0.1795341659383844,1.704895233712607
2019-12-01,CPIAUCSL,258.63,2.3195274699624457,1.812632331534525,0.2265888696193024,2.237069893501688
2020-01-01,CPIAUCSL,259.127,2.599767976845202,1.9053138831191967,0.2925407862358601,2.373871016966856
2020-02-01,CPIAUCSL,259.25,2.34131667975952,1.973851811838142,0.2903080244433565,1.265775786342675
2020-03-01,CPIAUCSL,258.076,1.4940399642909163,1.9414229462535184,0.3189467818866803,-1.4026884965453397
2020-04-01,CPIAUCSL,256.032,0.3130472940411133,1.800794931572856,0.5501149145919139,-2.7044306527035054
2020-05-01,CPIAUCSL,255.802,0.1982013035848551,1.6676524939248762,0.7063448523903552,-2.080359452422175
2020-06-01,CPIAUCSL,257.042,0.7166562831830481,1.588107609657626,0.753631717467016,-1.1563357887902568
2020-07-01,CPIAUCSL,258.352,0.9968647625897996,1.5189853952870205,0.7665405067307636,-0.6811389980211552
2020-08-01,CPIAUCSL,259.316,1.2810698495523851,1.4809377818608322,0.7660740919433755,-0.2608989579603488
